Date/Time,Year,Month,Mean Max Temp (C),Mean Max Temp Flag,Mean Min Temp (C),Mean Min Temp Flag,Mean Temp (C),Mean Temp Flag,Extr Max Temp (C),Extr Max Temp Flag,Extr Min Temp (C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Jun-70,1970,6,24.7,,10.9,,17.8,,34.4,,5.6,,156.7,,0,,156.7,,0,,11,,72,
Jul-70,1970,7,25.6,,12.4,,19,,29.4,S,7.8,,45.5,,0,,45.5,,0,,32,,92,
Aug-70,1970,8,25.7,,9.6,,17.7,,36.1,,3.9,S,26.9,,0,,26.9,,0,,29,,72,
Sep-70,1970,9,18,,3.7,,10.9,,28.9,,-3.9,,2.8,,0.3,,3,,0,,29,,64,
Oct-70,1970,10,9.9,,-1.8,,4.1,,25,,-13.3,,2,,18.5,,20.6,,0,T,32,,69,
Nov-70,1970,11,-3.8,,-10.7,,-7.3,,5.6,,-30.6,,4.1,,20.3,,22.1,,8,,18,,63,
Dec-70,1970,12,-13.9,,-24.8,,-19.4,,2.2,,-36.1,,0,,24.4,,21.6,,20,,32,,72,
Jan-71,1971,1,-17.9,,-28.2,,-23.1,,3.3,,-40.6,,0,T,30.7,,25.9,,25,,29,,71,
Feb-71,1971,2,-6.9,,-18.3,,-12.6,,3.9,S,-35.6,,0.3,,5.6,,5.6,,8,,32,,61,
Mar-71,1971,3,-4,,-15.6,,-9.8,,1.7,,-24.4,,0,T,21.1,,21.1,,15,,20,,63,
Apr-71,1971,4,9,,-2.8,,3.1,,19.4,,-18.9,,10.4,,10.2,,20.8,,0,,29,,84,
May-71,1971,5,21.2,,4.4,,12.8,,32.2,,-2.8,,5.6,,0,,5.6,,0,,23,,113,
Jun-71,1971,6,21.7,,9.1,,15.4,,28.9,,1.7,,87.9,,0,,87.9,,0,,14,,63,
Jul-71,1971,7,23.2,,9.6,,16.4,,30,,5.6,,142.2,,0,,142.2,,0,,32,,84,
Aug-71,1971,8,27,,11.6,,19.3,,34.4,S,7.2,S,16,,0,,16,,0,,32,,80,
Sep-71,1971,9,17.7,,3.6,,10.7,,31.1,,-3.9,,5.8,,0,T,5.8,,0,,23,,79,
Oct-71,1971,10,10.9,,-2.8,,4.1,,26.1,,-15,,2,,9.4,,11.4,,3,,32,,111,
Nov-71,1971,11,-1.9,,-9.9,,-5.9,,7.8,,-23.9,,0.3,,14,,14.2,,0,T,32,,74,
Dec-71,1971,12,-12.6,,-23.9,,-18.3,,0.6,,-40,,0,,37.3,,33.5,,23,,7,,64,S
Jan-72,1972,1,-16.7,,-28.7,,-22.7,,1.1,,-46.1,,0,,29.7,,25.9,,41,,32,,85,
Feb-72,1972,2,-15.4,,-25.2,,-20.3,,-1.7,,-38.3,,0,,24.6,,18.3,,41,,34,,74,
Mar-72,1972,3,-3,,-11.8,,-7.4,,6.1,S,-37.2,,10.7,,11.9,,21.3,,3,,11,,66,
Apr-72,1972,4,10.3,,-2.1,,4.1,,23.3,,-13.9,S,1.8,,3.6,,5.1,,0,,32,,85,
May-72,1972,5,20.1,,5.1,,12.6,,31.7,,-2.8,,41.4,,0.3,,41.7,,0,,27,,97,
Jun-72,1972,6,24.4,,10.3,,17.4,,33.3,,1.1,,54.6,,0,,54.6,,0,,25,,101,
Jul-72,1972,7,21.1,,9,,15.1,,25.6,S,2.8,S,64,,0,,64,,0,,27,,71,
Aug-72,1972,8,25.8,,11.7,,18.8,,33.9,,3.9,,26.9,,0,,26.9,,0,,23,,89,
Sep-72,1972,9,13.6,,1.2,,7.4,,23.9,,-7.2,,9.7,,1,,10.7,,0,,32,,85,
Oct-72,1972,10,8.2,,-4.6,,1.8,,20,S,-16.1,,2.3,,8.1,,10.4,,3,,32,,69,
Nov-72,1972,11,-1.6,,-8.2,,-4.9,,2.8,S,-21.7,,0.5,,7.4,,7.6,,3,,32,,92,
Dec-72,1972,12,-14.1,,-23.7,,-18.9,,1.7,,-33.9,,2.8,,16.8,,19.1,,13,,14,,58,
Jan-73,1973,1,-8.7,,-18.7,,-13.7,,6.7,,-37.8,,0,T,5.6,,4.8,,10,,32,,84,
Feb-73,1973,2,-8.4,,-19.1,,-13.8,,5,,-35,,0,,22.6,,19.8,,15,,36,,61,
Mar-73,1973,3,4,,-6.7,,-1.4,,15,,-18.3,,0.5,,3.6,,3.6,,0,,18,,56,
Apr-73,1973,4,7.7,,-3,,2.4,,20.6,,-7.8,S,36.1,,18.5,,54.9,,0,,16,,90,
May-73,1973,5,18.9,,4.7,,11.8,,27.8,,-3.9,,26.2,,0,,26.2,,0,,32,,71,
Jun-73,1973,6,21.8,,9.3,,15.6,,33.9,,2.8,,104.6,,0,,104.6,,0,,23,,85,
Jul-73,1973,7,24.9,,10.6,,17.8,,33.3,,6.1,,44.7,,0,,44.7,,0,,29,,89,
Aug-73,1973,8,25.6,,11.3,,18.5,,35,,2.8,,29.2,,0,,29.2,,0,,14,,74,
Sep-73,1973,9,17.4,,4.2,,10.8,,26.7,,-4.4,,33,,5.1,,38.1,,0,,29,,63,
Oct-73,1973,10,12.2,,-0.7,,5.8,,21.1,S,-7.2,S,5.3,,2.3,,7.9,,0,T,34,,76,
Nov-73,1973,11,-8.2,,-16.6,,-12.4,,0,,-24.4,,11.4,,30,,38.4,,18,,11,,64,
Dec-73,1973,12,-11.9,,-20.2,,-16.1,,0.6,,-38.3,S,0,T,34.8,,32.5,,33,,14,,79,
Jan-74,1974,1,-17.7,,-27.4,,-22.6,,-0.6,S,-40,,0,,41.1,,37.1,,51,,18,,80,
Feb-74,1974,2,-8.1,,-18.9,,-13.5,,2.8,,-29.4,S,0,,11.7,,10.4,,38,,34,,80,
Mar-74,1974,3,-7,,-17.9,,-12.5,,3.9,,-35,,0,T,40.1,,35.1,,25,,36,,69,
Apr-74,1974,4,8.8,,-2.7,,3.1,,25.6,,-11.1,,4.1,,4.1,,13.2,,0,,5,,93,
May-74,1974,5,12.9,,2.7,,7.8,,21.7,,-5.6,,102.4,,1.3,,104.4,,0,,2,,76,
Jun-74,1974,6,22.6,,9.5,,16.1,,33.9,,4.4,,61.2,,0,,61.2,,0,,23,,97,
Jul-74,1974,7,25.4,,12.1,,18.8,,34.4,,6.7,,58.7,,0,,58.7,,0,,25,,103,
Aug-74,1974,8,20.6,,8.6,,14.6,,33.3,,-0.6,,64.3,,0,,64.3,,0,,29,,105,
Sep-74,1974,9,15.6,,3.1,,9.4,,27.8,,-4.4,,22.9,,5.8,,27.7,,0,T,29,,63,
Oct-74,1974,10,14.1,,-0.6,,6.8,,23.9,,-8.3,S,7.6,,2,,9.7,,0,,32,,61,
Nov-74,1974,11,2.6,,-8.7,,-3.1,,12.8,,-20.6,,0.3,,1.3,,1.3,,0,,27,,89,
Dec-74,1974,12,-2.4,,-11.1,,-6.8,,7.2,,-21.1,,1,,10.2,,11.7,,3,,29,,64,
Jan-75,1975,1,-9.9,,-20.4,,-15.2,,3.9,,-34.4,,0.8,,29.5,,22.6,,18,,34,,76,
Feb-75,1975,2,-11.9,,-23.1,,-17.5,,1.1,,-38.3,,0,,26.2,,21.1,,18,,29,,55,
Mar-75,1975,3,-6.9,,-17.7,,-12.3,,5.6,,-31.7,,0.3,,10.2,,8.1,,13,,7,,51,
Apr-75,1975,4,4.4,,-4.6,,-0.1,,16.1,,-23.9,,16.5,,15.5,,31.2,,0,,11,,60,
May-75,1975,5,16.4,,3.9,,10.2,,25,,-1.7,S,73.7,,0.8,,74.4,,0,,32,,84,
Jun-75,1975,6,21.3,,8.8,,15.1,,30,,2.8,,77.7,,0,,77.7,,0,,25,,77,
Jul-75,1975,7,27.6,,13.1,,20.4,,35,,7.2,,27.9,,0,,27.9,,0,,34,,63,
Aug-75,1975,8,20.9,,8.2,,14.6,,27.8,,0.6,,38.4,,0,,38.4,,0,,25,,71,
Sep-75,1975,9,18.7,,4.4,,11.6,,30,,-2.8,,21.1,,0,,21.1,,0,,32,,69,
Oct-75,1975,10,9.9,,-1.7,,4.1,,26.7,,-12.8,,7.4,,9.9,,16.5,,0,,32,,72,S
Nov-75,1975,11,1.1,,-9.7,,-4.3,,19.4,,-27.2,,0,T,8.1,,5.8,,5,,25,,77,
Dec-75,1975,12,-8.3,,-19.7,,-14,,2.8,,-35.6,,0.3,,17,,13.2,,10,,32,,58,
Jan-76,1976,1,-9.2,,-19.6,,-14.4,,6.1,,-37.2,,1.8,,12.7,,12.4,,5,,32,,72,
Feb-76,1976,2,-4.4,,-14.4,,-9.4,,5,,-27.8,,0.3,,23.9,,17.5,,13,,2,,66,
Mar-76,1976,3,-3.4,,-14.2,,-8.8,,11.1,,-31.1,S,0.3,,23.6,,17.3,,0,T,5,,58,
Apr-76,1976,4,13.1,,0.8,,7,,25.6,,-6.7,,18,,6.4,,24.1,,0,,7,,60,
May-76,1976,5,21.1,,4.7,,12.9,,30,,-7.2,,23.1,,0,,23.1,,0,,16,,77,
Jun-76,1976,6,20.9,,9.6,,15.3,,30,,3.3,,70.9,,0,,70.9,,0,,27,,66,
Jul-76,1976,7,25.1,,12.3,,18.7,,33.3,,7.2,,77.2,,0,,77.2,,0,,29,,72,
Aug-76,1976,8,26,,11.1,,18.6,,35,,-1.1,,4.6,,0,,4.6,,0,,29,,76,
Sep-76,1976,9,21.5,,5.4,,13.5,,31.1,,-1.7,,20.1,,0,,20.1,,0,,29,,72,
Oct-76,1976,10,9.3,,-3.3,,3,,21.1,,-15,,3.3,,0.3,,3.6,,0,,29,,97,
Nov-76,1976,11,1.4,,-12.6,,-5.6,,13.3,,-27.2,,0,,2.8,,2.5,,3,,29,,100,
Dec-76,1976,12,-6.7,,-19,,-12.9,,4.4,,-32.8,,0,T,21.8,,15.2,,10,,29,,63,
Jan-77,1977,1,-14.2,,-25,,-19.6,,0,,-38,,0,,7.3,,7.3,,11,,34,,57,
Feb-77,1977,2,-0.8,,-11.7,,-6.3,,5.2,,-20.2,,0,T,4.7,,4.7,,3,,33,,63,
Mar-77,1977,3,2.6,,-8.1,,-2.8,,11.7,,-19,,0.5,,8.1,,8.5,,0,T,25,,81,
Apr-77,1977,4,15.9,,-1.3,,7.3,,30.8,,-18.5,,2.7,,4.2,,6.6,,0,,31,,70,
May-77,1977,5,20.3,,7.7,,14,,27.6,,-4.4,,147.4,,0,,147.4,,0,,12,,98,
Jun-77,1977,6,23.9,,9.6,,16.8,,32.8,,3.3,,16.5,,0,,16.5,,0,,32,,96,
Jul-77,1977,7,24.7,,10.8,,17.8,,31.5,,5.7,,33.8,,0,,33.8,,0,,26,,65,
Aug-77,1977,8,20.1,,7.1,,13.6,,28,,0.2,,27.8,,0,,27.8,,0,,36,,74,
Sep-77,1977,9,15.5,,5.6,,10.6,,24.7,,-0.3,,47.1,,0,,47.1,,0,,29,,61,
Oct-77,1977,10,12.3,,-0.4,,6,,23.3,,-8.5,,0.7,,4.3,,5,,0,,28,,65,
Nov-77,1977,11,-1.9,,-12.3,,-7.1,,13,,-29.6,,4,,7.7,,11.7,,3,,28,,78,
Dec-77,1977,12,-15,,-23.5,,-19.3,,-4.4,,-39.3,,0.4,,29.9,,28.1,,15,,8,,56,
Jan-78,1978,1,-17.4,,-27.8,,-22.6,,0.6,,-39.5,,0,,12.3,,10.5,,16,,35,,59,
Feb-78,1978,2,-11,,-21.4,,-16.2,,1.7,,-35.1,,1.2,,4,,4.9,,8,,13,,72,
Mar-78,1978,3,-0.3,,-10.1,,-5.2,,12.9,,-26.7,,2.1,,2.6,,4.7,,1,,14,,57,
Apr-78,1978,4,9.5,,-0.4,,4.6,,22.4,,-8.8,,17.9,,14.1,,32.2,,0,,36,,72,
May-78,1978,5,19.4,,5.6,,12.5,,29.7,,-0.6,,34.3,,0,,34.3,,0,,29,,70,
Jun-78,1978,6,24.4,,9.6,,17,,31.4,,2.9,,39.9,,0,,39.9,,0,,32,S,74,S
Jul-78,1978,7,25,,10.9,,18,,33.2,,4.2,,56,,0,T,56,,0,,35,,78,
Aug-78,1978,8,22.8,,9.1,,16,,35.2,,3.1,,41.4,,0,,41.4,,0,,30,S,56,S
Sep-78,1978,9,17.5,,6.5,,12,,35.3,,-1.3,,52.5,,0,,52.5,,0,,6,,59,
Oct-78,1978,10,12.9,,0.2,,6.6,,25.1,,-6,,19.8,,0,T,19.8,,0,,28,,67,
Nov-78,1978,11,-4.1,,-13.9,,-9,,19.2,,-30.1,,11.1,,27.3,,32,,17,,33,,67,
Dec-78,1978,12,-11.2,,-20.8,,-16,,1.4,,-33.2,,0,,10.4,,8.8,,10,,30,,74,
Jan-79,1979,1,-15.6,,-25,,-20.3,,-4.3,,-34.8,,0,,7.8,,7.3,,11,,31,,54,
Feb-79,1979,2,-19.2,,-27.6,,-23.4,,-8.3,,-39.7,,0,,35,,28.7,,30,,14,,56,
Mar-79,1979,3,-2.6,,-13.2,,-7.9,,4.5,,-28.4,,0,T,15.8,,17.4,,6,,30,,70,
Apr-79,1979,4,2.4,,-6.1,,-1.9,,11.6,,-25.1,,16,,23.8,,42,,0,,31,,61,
May-79,1979,5,15.2,,3.3,,9.3,,28,,-3.6,,21.3,,2.2,,23.5,,0,,30,,65,
Jun-79,1979,6,22.5,,8.7,,15.6,,31.3,,2,,90.8,,0,,90.8,,0,,31,,94,
Jul-79,1979,7,26.8,,12.7,,19.8,,34.3,S,6.9,,36,,0,,36,,0,,25,,81,
Aug-79,1979,8,24.5,,10.4,,17.5,,33.8,,1,,14,,0,,14,,0,,1,,98,
Sep-79,1979,9,21.1,,6.5,,13.8,,33.5,,0.2,,19.7,,0,,19.7,,0,,24,,85,
Oct-79,1979,10,11.3,E,0.1,E,5.7,E,24.4,,-5.3,,19,E,9,E,28,E,0,,32,,72,
Nov-79,1979,11,-0.1,,-9.6,,-4.9,,15.1,,-19,,0,,7.6,,4.6,,3,,31,,44,
Dec-79,1979,12,-6.3,,-16.4,,-11.4,,4.9,,-31,,4.7,,21.3,,25.1,,6,,4,,63,
Jan-80,1980,1,-13.1,,-22.9,,-18,,5.2,,-35.6,,0,T,27.4,,23.4,,13,,1,,63,
Feb-80,1980,2,-8.9,,-18.5,,-13.7,,2.3,,-30.2,,0.4,,22.6,,14.3,,19,,30,,63,
Mar-80,1980,3,-4.2,,-15,,-9.6,,5,S,-30.6,,0,,16,,14.4,,1,,12,,57,
Apr-80,1980,4,15.9,,2.4,,9.2,,29.7,S,-7.2,,0.8,,4.8,,5.5,,0,,32,,59,
May-80,1980,5,22.6,,6.3,,14.5,,35,,-3.7,,20.2,,0,,20.2,,0,,22,,80,
Jun-80,1980,6,23,,9.1,,16.1,,32.1,,2.6,,42.3,,0,,42.3,,0,,26,,57,
Jul-80,1980,7,26,,11.6,,18.8,,35.2,,5.4,,24.2,,0,,24.2,,0,,22,,98,
Aug-80,1980,8,22,,9.3,,15.7,,29.2,,1.7,,63.1,,0,,63.1,,0,,31,,67,
Sep-80,1980,9,17.6,,4.8,,11.2,,30.9,,-3.5,,37.2,,1.6,,38.8,,0,,32,,69,
Oct-80,1980,10,12.2,,-0.1,,6.1,,27.9,,-10,,4.2,,9.8,,16.5,,0,,30,,78,
Nov-80,1980,11,2.7,,-7,,-2.2,,12.6,,-22.4,,3.2,,2.2,,5.4,,0,T,29,,63,
Dec-80,1980,12,-11.4,,-21.3,,-16.4,,6.6,,-35.6,,0.2,,27.4,,21.1,,5,,31,,72,
Jan-81,1981,1,-5.4,,-14.5,,-10,,2.2,,-30.4,,0.8,,19.3,,14.5,,10,,11,,48,
Feb-81,1981,2,-5.3,,-15.2,,-10.3,,6.1,,-34,,0.2,,2.6,,1.6,,0,T,34,,69,
Mar-81,1981,3,4,,-6.1,,-1.1,,15.1,,-22.4,,0,,14.2,,13.3,,0,,8,S,46,S
Apr-81,1981,4,12,,-1.4,,5.3,,22.4,,-11.5,,13.1,,11.6,,27.1,,0,,29,,87,
May-81,1981,5,20.1,,5.3,,12.7,,30.6,,-3.4,,12.8,,0,,12.8,,0,,31,,65,
Jun-81,1981,6,21.8,,8.4,,15.1,,30.5,,3.2,,81,,0,T,81,,0,,29,,74,
Jul-81,1981,7,25.6,,12.6,,19.1,,32.3,,4.8,,55.2,,0,,55.2,,0,,26,,78,
Aug-81,1981,8,28.2,,13.1,,20.7,,33.6,,1.4,,26.6,,0,,26.6,,0,,34,,56,
Sep-81,1981,9,20.3,,5.9,,13.1,,33.9,,-1.8,,19.5,,0,,19.5,,0,,32,,61,
Oct-81,1981,10,8.8,,-2.2,,3.3,,18.6,,-13.9,,8,,25.6,,36.7,,8,,31,,61,
Nov-81,1981,11,4.5,,-3.7,,0.4,,16.2,,-10.3,,1.2,,0.8,,2,,0,,29,S,48,S
Dec-81,1981,12,-8.6,,-18,,-13.3,,6.7,,-36.3,,0,T,16.2,,13.3,,10,,22,,70,
Jan-82,1982,1,-20.4,,-32.5,,-26.5,,5.5,,-39.3,,0,T,11.6,,9.5,,16,,32,,67,
Feb-82,1982,2,-10.8,,-21.3,,-16.1,,4.9,,-36,,0,,5.8,,4,,4,,29,,74,
Mar-82,1982,3,-3.4,,-12.8,,-8.1,,6,,-31,,0.2,,19,,12.7,,0,,33,,70,
Apr-82,1982,4,8.4,,-4.4,,2,,24.2,,-21.3,,5.6,,8.8,,13,,0,,29,,74,
May-82,1982,5,15.2,,4.5,,9.9,,26.9,,-5.5,,56,,19.4,,83,,0,,29,,78,
Jun-82,1982,6,22.3,,8.7,,15.5,,30.2,,1.9,,52.9,,0,,52.9,,0,,26,,80,
Jul-82,1982,7,24.9,,12,,18.5,,32,,6.5,,80.4,,0,,80.4,,0,,27,,69,
Aug-82,1982,8,22.1,,9.7,,15.9,,31,,1.5,,81.2,,0,,81.2,,0,,27,,69,
Sep-82,1982,9,17.3,,5,,11.2,,31.3,,-4.3,,21.4,,15.4,,41.6,,3,,30,,67,
Oct-82,1982,10,11.3,,-0.4,,5.5,,20.8,,-6.1,,5.8,,0.4,,6.2,,0,,31,,65,
Nov-82,1982,11,-5.3,,-14.8,,-10.1,,6.6,,-27.7,,0,T,20,,21.4,,7,,35,,59,
Dec-82,1982,12,-7.4,,-16.2,,-11.8,,3.2,,-31.7,,1,,9.2,,7.6,,9,,30,,59,
Jan-83,1983,1,-7.9,,-17.4,,-12.7,,-0.6,,-36.9,,0,T,8.2,,6.3,,15,,31,,63,
Feb-83,1983,2,-5.7,,-13.4,,-9.6,,5.7,,-25.2,,0,T,9.2,,6,,9,,14,,61,
Mar-83,1983,3,-2.2,,-9.9,,-6.1,,6.3,,-21.4,S,3.5,,23.8,,23,,0,T,15,,67,
Apr-83,1983,4,9,,-2.5,,3.3,,22.6,,-18.2,,9.8,,27.8,,30.5,,0,,34,,63,
May-83,1983,5,15.5,,2.4,,9,,27.8,,-10.6,,26.8,,14.4,,45.4,,0,,2,,83,
Jun-83,1983,6,22.6,,9.7,,16.2,,31.7,,-0.4,,115.2,,0,,115.2,,0,,32,,98,
Jul-83,1983,7,25.2,,13.3,,19.3,,30.5,,8,,64,,0,,64,,0,,11,,76,
Aug-83,1983,8,29,,12.2,,20.6,,37.6,,5.6,,27.5,,0,,27.5,,0,,24,S,69,S
Sep-83,1983,9,16,,4.4,,10.2,,33.9,,-5.4,,65.2,,0,T,65.2,,0,,30,,89,
Oct-83,1983,10,12,,-0.8,,5.6,,20.3,,-8.1,,9,,0,,9,,0,,30,S,56,S
Nov-83,1983,11,0.1,,-5.4,,-2.7,,15.2,,-20.6,,4.6,,28.6,,26.4,,17,,13,,54,
Dec-83,1983,12,-17.9,,-28,,-23,,-7,,-41.1,,0,,7.2,,5.2,,12,,11,,52,
Jan-84,1984,1,-6.5,,-17.8,,-12.2,,5.5,,-33.4,,3.2,,7.6,,9,,5,,31,,70,
Feb-84,1984,2,0.6,,-8.5,,-4,,3.8,S,-21.5,,0,T,1.4,,1.2,,0,T,16,,54,
Mar-84,1984,3,-0.6,,-9.3,,-5,,12.5,,-21.2,,0.4,,12,,11.3,,0,,35,,63,
Apr-84,1984,4,14.4,,0.7,,7.6,,25.3,,-6.4,,11.6,,6.8,,18.2,,0,,1,,67,
May-84,1984,5,17.1,,3.9,,10.5,,31,,-4.2,,28.6,,0.4,,29,,0,,28,,85,
Jun-84,1984,6,22.6,,10.3,,16.5,,35.7,,3.2,,70,,0,,70,,0,,24,,80,
Jul-84,1984,7,27.8,,11.7,,19.8,,38.1,,6.5,,13.4,,0,,13.4,,0,,15,S,69,S
Aug-84,1984,8,28.3,,12.9,,20.6,,37.7,,1.5,,7.9,,0,,7.9,,0,,26,,87,
Sep-84,1984,9,14.3,,2.5,,8.4,,31.2,,-4.9,,49,,8.2,,58.2,,0,,3,,61,
Oct-84,1984,10,7.6,,-1.9,,2.9,,27.6,,-19.9,,3.6,,46.9,,58.6,,11,,30,S,56,S
Nov-84,1984,11,-4.8,,-12.3,,-8.6,,5.4,,-25.3,,0.2,,20.6,,18.8,,10,,12,,56,
Dec-84,1984,12,-14.6,,-24.5,,-19.6,,2.7,,-38.5,,0,,15.6,,14.6,,21,,35,,63,
Jan-85,1985,1,-9.3,,-21.3,,-15.3,,7.3,,-38.2,,1.2,,8.8,,9.8,,23,,30,,65,
Feb-85,1985,2,-11.2,,-21.9,,-16.6,,5.3,,-38.5,,0,,14.8,,13.6,,29,,13,,69,
Mar-85,1985,3,0.9,,-8.7,,-3.9,,6.5,,-19.4,,0.4,,9.2,,9,,0,T,6,,54,
Apr-85,1985,4,10,,0.5,,5.3,,20.2,,-7.6,,49.4,,10.2,,59.8,,0,,22,,78,
May-85,1985,5,19.3,,7,,13.2,,28.5,,2.2,,76.2,,0,,76.2,,0,,30,,81,
Jun-85,1985,6,19.4,,6.8,,13.1,,28.8,,-0.5,,11.4,,0,T,11.4,,0,,31,,96,
Jul-85,1985,7,26.2,,11.7,,19,,37,,6.4,,59,,0,,59,,0,,36,,67,
Aug-85,1985,8,22.7,,8.9,,15.8,,32.1,,3.7,,26.7,,0,,26.7,,0,,32,,85,
Sep-85,1985,9,13.6,,3.7,,8.7,,23.7,,-5.2,,38.8,,3.2,,42,,0,,12,,80,
Oct-85,1985,10,10.5,,-1.5,,4.5,,19.7,,-7.5,,3,,3,,5.8,,0,,28,,74,
Nov-85,1985,11,-10.4,,-19.4,,-14.9,,6.9,,-33.3,,2,,9.1,,8.2,,4,,35,,56,
Dec-85,1985,12,-7.2,,-17.8,,-12.5,,5.8,,-30.3,,0.8,,16,,13.6,,4,,30,,80,
Jan-86,1986,1,-3.7,,-13.4,,-8.6,,6.5,,-25.4,,0,T,30.2,,25.4,,15,,29,,111,
Feb-86,1986,2,-10.3,,-20.6,,-15.5,,5.3,,-36.2,,0,T,11.2,,9.4,,4,,21,,48,
Mar-86,1986,3,4.1,,-5.8,,-0.9,,16.8,,-19.5,,2.8,,16.7,,19,,0,,30,,87,
Apr-86,1986,4,9.7,,-2.7,,3.5,,21.2,,-14.3,,2.4,,3.8,,6.2,,0,,28,,63,
May-86,1986,5,19.6,,6.5,,13.1,,35.1,,-3.2,,51.8,,4.8,,58.6,,0,,13,,65,
Jun-86,1986,6,23.2,,8.8,,16,,32,,4.3,,49.8,,0,,49.8,,0,,20,,117,
Jul-86,1986,7,23.4,,11.5,,17.5,,33.4,,4.6,,119.8,,0,,119.8,,0,,25,S,63,S
Aug-86,1986,8,24.9,,9.8,,17.4,,33.1,,2.1,,14.6,,0,,14.6,,0,,32,S,56,S
Sep-86,1986,9,14.2,,4.5,,9.4,,21.1,,-1.7,,58.8,,0,T,58.8,,0,,6,,78,
Oct-86,1986,10,12.5,,-0.7,,5.9,,22.6,,-10,,3.2,,3,,6.8,,0,T,32,S,59,S
Nov-86,1986,11,-4.5,,-13.4,,-8.9,,9.7,,-25.3,,0.3,,12.6,,13,,4,,30,,65,
Dec-86,1986,12,-3.6,,-13.2,,-8.4,,2.9,,-26.5,,0.2,,7.6,,7.2,,8,,29,,67,
Jan-87,1987,1,-4,,-14.8,,-9.4,,5,,-25.5,,0,T,11.4,,10.4,,12,,30,,67,
Feb-87,1987,2,-3.8,,-12.8,,-8.3,,3.7,,-24.9,,0,T,16.2,,13.4,,14,,14,,59,
Mar-87,1987,3,0.4,,-8.5,,-4.1,,10.7,,-21.6,,0.2,,17.6,,16.6,,0,T,30,,61,
Apr-87,1987,4,15.3,,0.3,,7.8,,26.4,,-8,,12.8,,1,,13.8,,0,,29,,74,
May-87,1987,5,21.2,,6.6,,13.9,,30.2,,-2.7,,32.4,,0,,32.4,,0,,31,,70,
Jun-87,1987,6,25.9,,11.4,,18.7,,38.7,,4.7,,28.9,,0,,28.9,,0,,29,,78,S
Jul-87,1987,7,24.8,,12,,18.4,,34.5,,4.3,,37.2,,0,,37.2,,0,,17,,76,
Aug-87,1987,8,21,,7.9,,14.5,,28.9,,1.7,,41.6,,0,,41.6,,0,,35,,65,
Sep-87,1987,9,21.9,,5.9,,13.9,,34.5,,0.5,,13,,0,,13,,0,,4,,70,
Oct-87,1987,10,11.2,,-2.2,,4.5,,25.7,,-8.3,,7.8,,1.6,,9.2,,0,,30,,72,
Nov-87,1987,11,5,,-6.5,,-0.8,,13.7,,-16.5,,1,,0.2,,1.2,,0,,30,,65,
Dec-87,1987,12,-3.3,,-13,,-8.2,,8.3,,-26.5,,2.2,,13,,11.2,,7,,12,,54,
Jan-88,1988,1,-12,,-23.2,,-17.6,,1.1,,-35.6,,0,T,15.9,,12.6,,13,,31,,72,
Feb-88,1988,2,-7.3,,-19.6,,-13.5,,7.4,,-38,S,0,,10.6,,9.8,,1,,35,,106,
Mar-88,1988,3,1.2,,-8.8,,-3.8,,8.9,S,-20.5,,2.5,,30.8,,34.4,,6,,29,,67,
Apr-88,1988,4,12.7,,-2.6,,5.1,,26.4,,-9.4,,0.2,,1.2,,1.8,,0,,33,,67,
May-88,1988,5,23.1,,7.1,,15.1,,34.6,,-3,,11,,0,,11,,0,,9,,91,
Jun-88,1988,6,28.7,,13.6,,21.2,,40.6,,4.5,,23.4,,0,,23.4,,0,,30,,67,
Jul-88,1988,7,26.7,,11.7,,19.2,,37.1,,8.1,,58.4,,0,,58.4,,0,,32,,69,
Aug-88,1988,8,22.3,,10.6,,16.5,,30.4,,3.2,,89.5,,0,,89.5,,0,,29,,69,
